thread,calc_amount,time
1,4,0.015626907348632812
2,4,0.03125119209289551
3,4,0.04687857627868652
4,4,0.06250476837158203
5,4,0.07813096046447754
6,4,0.14063596725463867
7,4,0.12500977516174316
8,4,0.12542271614074707
9,4,0.14064240455627441
10,4,0.15625691413879395
11,4,0.17188143730163574
12,4,0.1875147819519043
13,4,0.20314669609069824
14,4,0.21876215934753418
15,4,0.26564955711364746
16,4,0.31251978874206543
1,5,0.031284332275390625
2,5,0.04684758186340332
3,5,0.04688286781311035
4,5,0.0624995231628418
5,5,0.09376788139343262
6,5,0.09374690055847168
7,5,0.10938382148742676
8,5,0.14063692092895508
9,5,0.15626192092895508
10,5,0.15626049041748047
11,5,0.1875145435333252
12,5,0.2187671661376953
13,5,0.25002312660217285
14,5,0.2344353199005127
15,5,0.2656064033508301
16,5,0.2656385898590088
1,6,0.03125643730163574
2,6,0.046875953674316406
3,6,0.06262016296386719
4,6,0.07801604270935059
5,6,0.07812952995300293
6,6,0.10938501358032227
7,6,0.140639066696167
8,6,0.14063119888305664
9,6,0.156266450881958
10,6,0.1719505786895752
11,6,0.18745017051696777
12,6,0.23439717292785645
13,6,0.234389066696167
14,6,0.2656517028808594
15,6,0.2656435966491699
16,6,0.2808682918548584
1,7,0.031252145767211914
2,7,0.03125262260437012
3,7,0.04687857627868652
4,7,0.09375739097595215
5,7,0.07813119888305664
6,7,0.14063572883605957
7,7,0.14063596725463867
8,7,0.1718888282775879
9,7,0.15626192092895508
10,7,0.15626192092895508
11,7,0.1875145435333252
12,7,0.25041890144348145
13,7,0.21876955032348633
14,7,0.2656426429748535
15,7,0.2813396453857422
16,7,0.265578031539917
1,8,0.01562643051147461
2,8,0.04688072204589844
3,8,0.06250572204589844
4,8,0.06250190734863281
5,8,0.09376287460327148
6,8,0.10937881469726562
7,8,0.1250138282775879
8,8,0.14063739776611328
9,8,0.15625977516174316
10,8,0.15625858306884766
11,8,0.18759989738464355
12,8,0.21868085861206055
13,8,0.23439359664916992
14,8,0.26564908027648926
15,8,0.2500157356262207
16,8,0.2812807559967041
1,9,0.031243562698364258
2,9,0.04688096046447754
3,9,0.06250286102294922
4,9,0.07813215255737305
5,9,0.09375596046447754
6,9,0.12500905990600586
7,9,0.1406407356262207
8,9,0.12500524520874023
9,9,0.14063549041748047
10,9,0.1718895435333252
11,9,0.18751907348632812
12,9,0.21879887580871582
13,9,0.21873736381530762
14,9,0.2500166893005371
15,9,0.2500159740447998
16,9,0.31252455711364746
1,10,0.01571345329284668
2,10,0.031164884567260742
3,10,0.046479225158691406
4,10,0.06290650367736816
5,10,0.07772994041442871
6,10,0.12540841102600098
7,10,0.12501025199890137
8,10,0.15632224082946777
9,10,0.15620183944702148
10,10,0.15626883506774902
11,10,0.1875302791595459
12,10,0.20312190055847168
13,10,0.2031416893005371
14,10,0.21876239776611328
15,10,0.25002598762512207
16,10,0.2656400203704834
1,11,0.015631675720214844
2,11,0.04687309265136719
3,11,0.04687976837158203
4,11,0.07813477516174316
5,11,0.09380507469177246
6,11,0.0937032699584961
7,11,0.10938715934753418
8,11,0.14063239097595215
9,11,0.17189431190490723
10,11,0.15625691413879395
11,11,0.18752002716064453
12,11,0.20313572883605957
